% Model,transient_real_pressure.mph,
% Version,COMSOL 6.3.0.290,
% Date,"Mar 20 2025, 17:02",
% Table,探针�?1 - ,
% 时间 (s),"总声�?(Pa), 点探�?1","总声�?(Pa), 点探�?2"
0.009233333,1.13E-06,-1.05E-05
0.00925,1.20E-06,-1.04E-05
0.009266667,1.27E-06,-1.04E-05
0.009283333,1.33E-06,-1.04E-05
0.0093,1.40E-06,-1.03E-05
0.009316667,1.47E-06,-1.03E-05
0.009333333,1.54E-06,-1.02E-05
0.00935,1.60E-06,-1.02E-05
0.009366667,1.67E-06,-1.01E-05
0.009383333,1.73E-06,-9.99E-06
0.0094,1.79E-06,-9.90E-06
0.009416667,1.86E-06,-9.80E-06
0.009433333,1.92E-06,-9.70E-06
0.00945,1.98E-06,-9.57E-06
0.009466667,2.04E-06,-9.43E-06
0.009483333,2.11E-06,-9.28E-06
0.0095,2.17E-06,-9.11E-06
0.009516667,2.23E-06,-8.94E-06
0.009533333,2.28E-06,-8.76E-06
0.00955,2.34E-06,-8.57E-06
0.009566667,2.40E-06,-8.37E-06
0.009583333,2.45E-06,-8.16E-06
0.0096,2.50E-06,-7.93E-06
0.009616667,2.56E-06,-7.70E-06
0.009633333,2.61E-06,-7.46E-06
0.00965,2.66E-06,-7.21E-06
0.009666667,2.70E-06,-6.96E-06
0.009683333,2.75E-06,-6.70E-06
0.0097,2.79E-06,-6.42E-06
0.009716667,2.83E-06,-6.14E-06
0.009733333,2.88E-06,-5.85E-06
0.00975,2.91E-06,-5.55E-06
0.009766667,2.95E-06,-5.25E-06
0.009783333,2.98E-06,-4.95E-06
0.0098,3.01E-06,-4.66E-06
0.009816667,3.04E-06,-4.36E-06
0.009833333,3.07E-06,-4.05E-06
0.00985,3.10E-06,-3.74E-06
0.009866667,3.12E-06,-3.43E-06
0.009883333,3.14E-06,-3.11E-06
0.0099,3.16E-06,-2.80E-06
0.009916667,3.18E-06,-2.48E-06
0.009933333,3.20E-06,-2.17E-06
0.00995,3.21E-06,-1.85E-06
0.009966667,3.22E-06,-1.53E-06
0.009983333,3.23E-06,-1.20E-06
0.01,3.24E-06,-8.68E-07
0.010016667,3.24E-06,-5.40E-07
0.010033333,3.25E-06,-2.15E-07
0.01005,3.25E-06,1.08E-07
0.010066667,3.25E-06,4.32E-07
0.010083333,3.25E-06,7.60E-07
0.0101,3.24E-06,1.09E-06
0.010116667,3.24E-06,1.43E-06
0.010133333,3.23E-06,1.76E-06
0.01015,3.22E-06,2.10E-06
0.010166667,3.21E-06,2.43E-06
0.010183333,3.19E-06,2.76E-06
0.0102,3.18E-06,3.08E-06
0.010216667,3.16E-06,3.41E-06
0.010233333,3.14E-06,3.74E-06
0.01025,3.12E-06,4.07E-06
0.010266667,3.10E-06,4.40E-06
0.010283333,3.07E-06,4.72E-06
0.0103,3.05E-06,5.02E-06
0.010316667,3.02E-06,5.33E-06
0.010333333,2.99E-06,5.62E-06
0.01035,2.96E-06,5.92E-06
0.010366667,2.93E-06,6.22E-06
0.010383333,2.89E-06,6.51E-06
0.0104,2.86E-06,6.79E-06
0.010416667,2.82E-06,7.07E-06
0.010433333,2.78E-06,7.33E-06
0.01045,2.74E-06,7.58E-06
0.010466667,2.70E-06,7.83E-06
0.010483333,2.66E-06,8.08E-06
0.0105,2.61E-06,8.32E-06
0.010516667,2.57E-06,8.55E-06
0.010533333,2.52E-06,8.77E-06
0.01055,2.48E-06,8.98E-06
0.010566667,2.43E-06,9.17E-06
0.010583333,2.38E-06,9.37E-06
0.0106,2.33E-06,9.56E-06
0.010616667,2.28E-06,9.74E-06
0.010633333,2.23E-06,9.91E-06
0.01065,2.17E-06,1.01E-05
0.010666667,2.12E-06,1.02E-05
0.010683333,2.07E-06,1.04E-05
0.0107,2.01E-06,1.05E-05
0.010716667,1.95E-06,1.06E-05
0.010733333,1.90E-06,1.07E-05
0.01075,1.84E-06,1.08E-05
0.010766667,1.78E-06,1.09E-05
0.010783333,1.72E-06,1.10E-05
0.0108,1.66E-06,1.11E-05
0.010816667,1.60E-06,1.11E-05
0.010833333,1.54E-06,1.12E-05
0.01085,1.48E-06,1.12E-05
0.010866667,1.41E-06,1.13E-05
0.010883333,1.35E-06,1.13E-05
0.0109,1.29E-06,1.13E-05
0.010916667,1.23E-06,1.13E-05
0.010933333,1.16E-06,1.13E-05
